idx,embedding,chunking,k,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,E3_bge_m3_k4,whole_doc,4,0.8824,0.1765,0.2,0,0.4117647058823529,0.17647058823529413,0.42857142857142855,0
1,E3_bge_m3_k4,whole_doc,4,0.9231,0.0,0.0,0,0.2692307692307692,0.07692307692307693,0.2857142857142857,1
2,E3_bge_m3_k4,whole_doc,4,0.9375,0.125,0.1333,1,0.125,0.0625,0.5,1
3,E3_bge_m3_k4,whole_doc,4,0.2,0.1,0.5,1,0.3,0.3,1.0,1
4,E3_bge_m3_k4,whole_doc,4,0.2667,0.0667,0.25,1,0.06666666666666667,0.06666666666666667,1.0,1
5,E3_bge_m3_k4,whole_doc,4,0.6471,0.1176,0.1818,1,0.29411764705882354,0.17647058823529413,0.6,1
6,E3_bge_m3_k4,whole_doc,4,1.0,0.0,0.0,1,0.05555555555555555,0.05555555555555555,1.0,1
7,E3_bge_m3_k4,whole_doc,4,0.5909,0.0,0.0,0,0.36363636363636365,0.045454545454545456,0.125,1
8,E3_bge_m3_k4,whole_doc,4,0.2632,0.0526,0.2,1,0.15789473684210525,0.05263157894736842,0.3333333333333333,1
9,E3_bge_m3_k4,whole_doc,4,1.0,0.0,0.0,1,1.0,0.041666666666666664,0.041666666666666664,1
