idx,rerank_strategy,chunking,embedding,k,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,E3,whole_doc,e5_large_v2,4,0.2941,0.2941,1.0,0,0.4117647058823529,0.17647058823529413,0.42857142857142855,0
1,E3,whole_doc,e5_large_v2,4,0.1923,0.0385,0.2,0,0.2692307692307692,0.07692307692307693,0.2857142857142857,1
2,E3,whole_doc,e5_large_v2,4,0.125,0.0625,0.5,1,0.125,0.0625,0.5,1
3,E3,whole_doc,e5_large_v2,4,0.2,0.0,0.0,0,0.3,0.3,1.0,1
4,E3,whole_doc,e5_large_v2,4,0.2,0.0667,0.3333,0,0.06666666666666667,0.06666666666666667,1.0,1
5,E3,whole_doc,e5_large_v2,4,0.1765,0.0588,0.3333,1,0.29411764705882354,0.17647058823529413,0.6,1
6,E3,whole_doc,e5_large_v2,4,1.0,0.0,0.0,0,0.05555555555555555,0.05555555555555555,1.0,1
7,E3,whole_doc,e5_large_v2,4,0.2727,0.0,0.0,0,0.36363636363636365,0.045454545454545456,0.125,1
8,E3,whole_doc,e5_large_v2,4,0.1579,0.0526,0.3333,1,0.15789473684210525,0.05263157894736842,0.3333333333333333,1
9,E3,whole_doc,e5_large_v2,4,0.7083,0.125,0.1765,1,1.0,0.041666666666666664,0.041666666666666664,1
10,E3,whole_doc,e5_large_v2,4,0.35,0.1,0.2857,0,0.35,0.1,0.2857142857142857,1
11,E3,whole_doc,e5_large_v2,4,0.6111,0.1111,0.0909,0,0.3888888888888889,0.2222222222222222,0.5714285714285714,1
12,E3,whole_doc,e5_large_v2,4,0.2,0.0,0.0,0,0.13333333333333333,0.06666666666666667,0.5,1
13,E3,whole_doc,e5_large_v2,4,0.1053,0.1053,1.0,1,0.10526315789473684,0.05263157894736842,0.5,1
14,E3,whole_doc,e5_large_v2,4,0.7895,0.7895,1.0,0,0.2631578947368421,0.15789473684210525,0.6,1
16,E3,whole_doc,e5_large_v2,4,0.2941,0.1176,0.4,0,0.17647058823529413,0.11764705882352941,0.6666666666666666,0
17,E3,whole_doc,e5_large_v2,4,0.2941,0.0588,0.2,1,0.058823529411764705,0.058823529411764705,1.0,1
18,E3,whole_doc,e5_large_v2,4,0.3333,0.1667,0.5,1,0.3333333333333333,0.3333333333333333,1.0,0
19,E3,whole_doc,e5_large_v2,4,0.3,0.3,1.0,0,0.1,0.1,1.0,1
20,E3,whole_doc,e5_large_v2,4,0.3448,0.3448,1.0,0,0.41379310344827586,0.3448275862068966,0.8333333333333334,1
21,E3,whole_doc,e5_large_v2,4,0.1304,0.0435,0.3333,1,0.13043478260869565,0.043478260869565216,0.3333333333333333,1
22,E3,whole_doc,e5_large_v2,4,0.5455,0.1818,0.3333,1,0.18181818181818182,0.18181818181818182,1.0,1
23,E3,whole_doc,e5_large_v2,4,0.3158,0.2105,0.6667,0,0.42105263157894735,0.15789473684210525,0.375,1
24,E3,whole_doc,e5_large_v2,4,0.5294,0.0588,0.1111,1,0.23529411764705882,0.11764705882352941,0.5,0
25,E3,whole_doc,e5_large_v2,4,0.6923,0.0769,0.0,0,0.23076923076923078,0.15384615384615385,0.6666666666666666,1
26,E3,whole_doc,e5_large_v2,4,0.4444,0.4444,1.0,0,0.4444444444444444,0.4444444444444444,1.0,1
27,E3,whole_doc,e5_large_v2,4,0.1905,0.0952,0.5,0,0.19047619047619047,0.19047619047619047,1.0,1
28,E3,whole_doc,e5_large_v2,4,0.3333,0.2222,0.6667,1,0.2222222222222222,0.05555555555555555,0.25,1
29,E3,whole_doc,e5_large_v2,4,0.4762,0.3333,0.6,0,0.38095238095238093,0.38095238095238093,1.0,0
30,E3,whole_doc,e5_large_v2,4,0.1818,0.1364,0.75,0,0.2727272727272727,0.22727272727272727,0.8333333333333334,0
31,E3,whole_doc,e5_large_v2,4,0.5,0.1429,0.2857,0,0.2857142857142857,0.14285714285714285,0.5,1
32,E3,whole_doc,e5_large_v2,4,0.5714,0.0952,0.1667,0,0.2857142857142857,0.09523809523809523,0.3333333333333333,1
33,E3,whole_doc,e5_large_v2,4,0.4,0.2,0.5,0,0.4,0.25,0.625,1
34,E3,whole_doc,e5_large_v2,4,0.875,0.375,0.4286,0,0.625,0.625,1.0,1
35,E3,whole_doc,e5_large_v2,4,0.3571,0.1429,0.4,1,0.35714285714285715,0.35714285714285715,1.0,0
36,E3,whole_doc,e5_large_v2,4,0.3333,0.3333,0.8,0,0.4,0.26666666666666666,0.6666666666666666,1
37,E3,whole_doc,e5_large_v2,4,0.2857,0.0,0.0,0,0.2857142857142857,0.14285714285714285,0.5,1
38,E3,whole_doc,e5_large_v2,4,0.15,0.05,0.3333,0,0.2,0.05,0.25,1
39,E3,whole_doc,e5_large_v2,4,0.45,0.05,0.1111,1,0.15,0.05,0.3333333333333333,1
40,E3,whole_doc,e5_large_v2,4,0.6667,0.4444,0.6667,1,0.6666666666666666,0.2222222222222222,0.3333333333333333,1
41,E3,whole_doc,e5_large_v2,4,0.0455,0.0455,1.0,1,0.045454545454545456,0.045454545454545456,1.0,1
42,E3,whole_doc,e5_large_v2,4,0.2857,0.2857,1.0,0,0.42857142857142855,0.42857142857142855,1.0,1
43,E3,whole_doc,e5_large_v2,4,0.4211,0.4211,1.0,0,0.5263157894736842,0.42105263157894735,0.8,1
44,E3,whole_doc,e5_large_v2,4,0.375,0.5,1.0,0,0.5,0.5,1.0,1
45,E3,whole_doc,e5_large_v2,4,1.0,0.4,0.4,0,0.2,0.2,1.0,0
46,E3,whole_doc,e5_large_v2,4,0.5263,0.5263,1.0,1,0.21052631578947367,0.21052631578947367,1.0,0
47,E3,whole_doc,e5_large_v2,4,0.6364,0.2727,0.4286,0,0.2727272727272727,0.18181818181818182,0.6666666666666666,1
49,E3,whole_doc,e5_large_v2,4,0.3125,0.0625,0.2,1,0.3125,0.0625,0.2,1
50,E3,whole_doc,e5_large_v2,4,0.087,0.0435,0.5,1,0.043478260869565216,0.043478260869565216,1.0,1
51,E3,whole_doc,e5_large_v2,4,0.3684,0.0,0.0,0,0.42105263157894735,0.21052631578947367,0.5,0
52,E3,whole_doc,e5_large_v2,4,0.3333,0.1111,0.3333,1,0.3333333333333333,0.2222222222222222,0.6666666666666666,1
53,E3,whole_doc,e5_large_v2,4,0.0952,0.0476,0.5,0,0.38095238095238093,0.047619047619047616,0.125,1
54,E3,whole_doc,e5_large_v2,4,0.1579,0.1053,0.6667,1,0.8421052631578947,0.47368421052631576,0.5625,1
55,E3,whole_doc,e5_large_v2,4,0.85,0.85,1.0,0,0.4,0.25,0.625,1
56,E3,whole_doc,e5_large_v2,4,0.5625,0.0,0.0,1,0.75,0.4375,0.5833333333333334,1
57,E3,whole_doc,e5_large_v2,4,0.4,0.0667,0.1667,0,0.3333333333333333,0.06666666666666667,0.2,1
58,E3,whole_doc,e5_large_v2,4,0.4,0.4,1.0,0,0.4,0.4,1.0,1
59,E3,whole_doc,e5_large_v2,4,0.2222,0.2222,1.0,0,0.2777777777777778,0.2222222222222222,0.8,1
60,E3,whole_doc,e5_large_v2,4,0.75,0.125,0.1667,1,0.75,0.375,0.5,1
61,E3,whole_doc,e5_large_v2,4,0.25,0.125,0.5,0,0.0,0.0,1.0,1
62,E3,whole_doc,e5_large_v2,4,0.3929,0.3929,1.0,0,0.35714285714285715,0.2857142857142857,0.8,0
63,E3,whole_doc,e5_large_v2,4,0.25,0.25,1.0,0,0.375,0.375,1.0,0
