id,model,ability,noise_ratio,query,model_response,accuracy
0,llama-3.3-70b-versatile,noise_robustness,0.2,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' is on January 2, 2022, at 9:00pm ET/PT on CNN.",1
1,llama-3.3-70b-versatile,noise_robustness,0.2,"The genre of the drama ""Good Sam"" is what?","The genre of the drama ""Good Sam"" is medical drama.",1
2,llama-3.3-70b-versatile,noise_robustness,0.2,Who won the 2022 Citrus Bowl?,"The Kentucky Wildcats won the 2022 Citrus Bowl, defeating the University of Iowa 20-17.",1
3,llama-3.3-70b-versatile,noise_robustness,0.2,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,Jason Semore held the position of Defensive Coordinator at Valdosta State before returning to Georgia Tech.,1
4,llama-3.3-70b-versatile,noise_robustness,0.2,How many vehicles did Tesla deliver in 2021?,"According to the document, Tesla delivered 936,172 vehicles in 2021, which represents an 87 percent increase from 2020.",1
5,llama-3.3-70b-versatile,noise_robustness,0.2,Which company acquired ShowBiz Cinemas?,EVO Entertainment Group acquired ShowBiz Cinemas in an all-cash deal.,1
6,llama-3.3-70b-versatile,noise_robustness,0.2,Where is the Super Bowl held in 2022?,"The Super Bowl in 2022, specifically Super Bowl LVI, was held at SoFi Stadium in Inglewood, California.",1
7,llama-3.3-70b-versatile,noise_robustness,0.2,When will Truth Social launch on iOS?,"Truth Social launched on iOS on February 21st, 2022, which is President's Day in the US.",1
8,llama-3.3-70b-versatile,noise_robustness,0.2,What won best drama at 79th Golden Globes?,The Power of the Dog won Best Motion Picture – Drama at the 79th Golden Globes.,1
9,llama-3.3-70b-versatile,noise_robustness,0.2,How much are GA Tech softball 2022 season tickets?,"GA Tech softball 2022 season tickets are $100 per seat, located in the reserved chairback sections of Mewborn Field. This price allows fans to maintain the same seat for every home game at a discounted rate compared to single-game pricing.",1
10,llama-3.3-70b-versatile,noise_robustness,0.2,When does the 2022 Olympic Winter Games end?,The 2022 Olympic Winter Games ended on 20 February 2022.,1
11,llama-3.3-70b-versatile,noise_robustness,0.2,Who won the Spanish Super Cup 2022?,"According to the document, the Spanish Super Cup mentioned is actually the 2021-22 final, not 2022. The winner of the 2021-22 Spanish Super Cup was Real Madrid, who defeated Athletic Bilbao 2-0 in the final. There is no information in the document about the 2022 Spanish Super Cup winner.",1
12,llama-3.3-70b-versatile,noise_robustness,0.2,How much is Microsoft acquiring Activision Blizzard for?,"Microsoft is acquiring Activision Blizzard for $68.7 billion, with a price of $95.00 per share, in an all-cash transaction.",1
13,llama-3.3-70b-versatile,noise_robustness,0.2,What is the price for a 30-second spot during the Super Bowl 2022?,The price for a 30-second spot during the Super Bowl in 2022 was $6.5 million.,1
